iter	Logloss
0	0.6856822205
1	0.673589325
2	0.6684490204
3	0.6608976746
4	0.6491027832
5	0.6410574341
6	0.635017662
7	0.6304460907
8	0.6256162643
9	0.6160237122
10	0.6107199097
11	0.606089859
12	0.6013648224
13	0.597949295
14	0.5934967041
15	0.5901009369
16	0.5873887634
17	0.5839136887
18	0.5800210953
19	0.5745877075
20	0.5711933899
21	0.5666735077
22	0.5633686066
23	0.5601099396
24	0.557348938
25	0.5540789413
26	0.551910553
27	0.5489319611
28	0.5462369537
29	0.5442095184
30	0.5431227112
31	0.5409593201
32	0.5390301514
33	0.5366322708
34	0.5346569824
35	0.5298508453
36	0.5282751846
37	0.5241347504
38	0.523093338
39	0.5211864471
40	0.5192677307
41	0.5175611115
42	0.5161231232
43	0.5152521515
44	0.5142357635
45	0.5126855469
46	0.5119911575
47	0.5107489014
48	0.5093819809
49	0.5088323975
50	0.5074905014
51	0.5061885071
52	0.5051116943
53	0.5040729523
54	0.5028065491
55	0.5019627762
56	0.5010354614
57	0.499875679
58	0.4988539505
59	0.4978698349
60	0.4969915009
61	0.4962617874
62	0.4955749512
63	0.4945243454
64	0.4937651443
65	0.4927156448
66	0.4918907166
67	0.4909534073
68	0.4899536896
69	0.4887695313
70	0.487996788
71	0.4872768021
72	0.4863454056
73	0.4856092834
74	0.4846440887
75	0.4833998871
76	0.4826023865
77	0.4818777466
78	0.4814066696
79	0.4806826782
80	0.4802228928
81	0.4793930435
82	0.4788336182
83	0.4783638
84	0.4776919556
85	0.4772562027
86	0.4767739105
87	0.4762332535
88	0.4757164764
89	0.4751920319
90	0.4745122528
91	0.4738286209
92	0.4732452011
93	0.4728116989
94	0.4724156189
95	0.4718654633
96	0.4713371658
97	0.4708512115
98	0.4704844666
99	0.4700388336
100	0.4696051025
101	0.4689705658
102	0.4683111572
103	0.4677731705
104	0.4673223114
105	0.4669597626
106	0.4664048004
107	0.4659230042
108	0.465512886
109	0.4651828003
110	0.4646912384
111	0.4643667603
112	0.4641432571
113	0.4637285995
114	0.4633198547
115	0.4629214478
116	0.4626324081
117	0.4621630096
118	0.4617490387
119	0.4613125229
120	0.460953064
121	0.4603592682
122	0.4600520325
123	0.4596435547
124	0.459172821
125	0.4588309097
126	0.4584580994
127	0.4579596329
128	0.4574856567
129	0.4570836639
130	0.4566716766
131	0.4564071655
132	0.4562256622
133	0.4557618713
134	0.4553378296
135	0.4549332428
136	0.4544642639
137	0.4540673065
138	0.4536420822
139	0.453341713
140	0.4529308319
141	0.4526530838
142	0.4522566605
143	0.4519503784
144	0.451538887
145	0.4511984253
146	0.4509673309
147	0.4506785583
148	0.4502639008
149	0.4499459839
150	0.4497615051
151	0.4493367004
152	0.4489987183
153	0.4487020874
154	0.4483431244
155	0.4483198547
156	0.4478709793
157	0.4475955963
158	0.4472689056
159	0.4469090652
160	0.4466207886
161	0.4461739349
162	0.4459175873
163	0.4457297897
164	0.4454056549
165	0.4451806259
166	0.4448429489
167	0.4445763397
168	0.444568367
169	0.4442638016
170	0.4440286255
171	0.4437801743
172	0.4437223053
173	0.443480072
174	0.4432222366
175	0.4428882599
176	0.4426836014
177	0.4424306488
178	0.4421604156
179	0.4418717194
180	0.4417169189
181	0.4413851166
182	0.4410587311
183	0.4407258224
184	0.4404359055
185	0.4400204468
186	0.4397372818
187	0.4394790268
188	0.4392757416
189	0.4389982605
190	0.4387389374
191	0.4383290863
192	0.4381053925
193	0.4378490448
194	0.4374741745
195	0.4372982788
196	0.4370365524
197	0.4367236328
198	0.4363372803
199	0.4359627533
200	0.4356164551
201	0.4353046799
202	0.4350572205
203	0.4348198318
204	0.4345922852
205	0.4343900681
206	0.4340299606
207	0.4338522339
208	0.4335975266
209	0.4332896042
210	0.4331034088
211	0.4327885818
212	0.4324514008
213	0.4322143173
214	0.4319597626
215	0.4316179657
216	0.4314315414
217	0.4311432266
218	0.4309570313
219	0.4308347702
220	0.4305685425
221	0.430267868
222	0.4300669861
223	0.4297609711
224	0.4294258118
225	0.4291589355
226	0.4289194489
227	0.428730011
228	0.4284635544
229	0.4282061768
230	0.4277601624
231	0.4275715637
232	0.4274192047
233	0.4271294022
234	0.4268907166
235	0.4265777969
236	0.4262661743
237	0.425959053
238	0.4257273102
239	0.4254711151
240	0.425320282
241	0.4251664734
242	0.4249092865
243	0.4246197891
244	0.4243315125
245	0.4239821625
246	0.4237747192
247	0.4234137726
248	0.4231984711
249	0.4229530334
250	0.4227587128
251	0.4224168396
252	0.4221487427
253	0.4218643188
254	0.4216046906
255	0.4214097595
256	0.4210850525
257	0.4208085632
258	0.4205496979
259	0.4202457428
260	0.4200391388
261	0.4197907639
262	0.4195531464
263	0.4193076324
264	0.4189969254
265	0.4188244629
266	0.4185074615
267	0.4182671356
268	0.4179891968
269	0.4177643204
270	0.4175399017
271	0.4173797607
272	0.4171731186
273	0.4170150757
274	0.416762619
275	0.4165855026
276	0.4162259674
277	0.4158335876
278	0.4155427551
279	0.4152518845
280	0.4150280762
281	0.4148033905
282	0.4146202087
283	0.4144975662
284	0.4142136383
285	0.4140739822
286	0.4137565994
287	0.4135584259
288	0.4134198761
289	0.4131912231
290	0.4129788971
291	0.412767334
292	0.4124727631
293	0.4123176575
294	0.412121048
295	0.4118459702
296	0.4115955734
297	0.4112870789
298	0.4110705566
299	0.4107672882
300	0.4105689621
301	0.4102749252
302	0.4101298523
303	0.4099234772
304	0.4095591354
305	0.4093414307
306	0.4091301727
307	0.4088946152
308	0.4087643433
309	0.4086200714
310	0.4083427811
311	0.4081246948
312	0.4078678131
313	0.4076377869
314	0.4074228668
315	0.4072121811
316	0.4070090485
317	0.406805191
318	0.4066101837
319	0.4063838959
320	0.4061925507
321	0.4060219574
322	0.4057413101
323	0.4056225586
324	0.405356102
325	0.4051861191
326	0.4049214172
327	0.4047628403
328	0.4045910263
329	0.4044166946
330	0.4042215729
331	0.4039806747
332	0.4038096237
333	0.4035927963
334	0.4033334732
335	0.4030855942
336	0.4028306198
337	0.402616806
338	0.4023753738
339	0.4021609879
340	0.4019604492
341	0.4018225098
342	0.401661377
343	0.4015410614
344	0.4013938141
345	0.4011941147
346	0.4009595108
347	0.400698204
348	0.4003984833
349	0.4002470016
350	0.4000098419
351	0.3998671722
352	0.3998029709
353	0.3995804977
354	0.3993774796
355	0.3992032623
356	0.3989735413
357	0.3988141251
358	0.3986373138
359	0.3984309387
360	0.3982889557
361	0.3981315613
362	0.3979323196
363	0.3976374435
364	0.3974858093
365	0.3972402573
366	0.3970257568
367	0.3968070984
368	0.3965441513
369	0.3963393784
370	0.3960380554
371	0.3957884979
372	0.3956785202
373	0.3954173279
374	0.3951885223
375	0.395038681
376	0.3948387527
377	0.3947462463
378	0.3945443726
379	0.3943384171
380	0.3941665649
381	0.3938467407
382	0.3936332321
383	0.3935205841
384	0.3933660126
385	0.3930936432
386	0.3927941132
387	0.3925949478
388	0.3923842239
389	0.3922217178
390	0.3919763184
391	0.3918502808
392	0.3915576172
393	0.3914045715
394	0.3912039948
395	0.3910127258
396	0.3908870697
397	0.390729332
398	0.3905080414
399	0.3903642654
400	0.3900962448
401	0.3898075104
402	0.389515686
403	0.3892946243
404	0.3890768433
405	0.3888738251
406	0.3886925125
407	0.3884814453
408	0.3882224274
409	0.388033638
410	0.387792778
411	0.3875695801
412	0.3873017883
413	0.3871388245
414	0.386934433
415	0.3867358398
416	0.3865582657
417	0.386284523
418	0.3860601807
419	0.3858127594
420	0.3855910492
421	0.3854507446
422	0.3853170013
423	0.3851457214
424	0.3849346924
425	0.3848295593
426	0.384634819
427	0.3844271088
428	0.3842891312
429	0.3841300201
430	0.3838916779
431	0.3836485291
432	0.3833383942
433	0.3830731201
434	0.3829245758
435	0.3826113892
436	0.3824334717
437	0.3822669983
438	0.3819906998
439	0.3817352676
440	0.3815602875
441	0.3813539505
442	0.3811502457
443	0.3809147644
444	0.3806337357
445	0.3803688812
446	0.3801129913
447	0.3799614716
448	0.379742012
449	0.3795873642
450	0.3793618393
451	0.3791733932
452	0.3789091492
453	0.3787618256
454	0.3785933304
455	0.3784043121
456	0.3783066559
457	0.3781690216
458	0.3779949188
459	0.3778148651
460	0.3776210022
461	0.3774015808
462	0.3772155762
463	0.3770152664
464	0.3767837524
465	0.376579895
466	0.376399498
467	0.3762257767
468	0.3760245132
469	0.3758123016
470	0.3756977844
471	0.3754183197
472	0.3752855682
473	0.3750654984
474	0.3748088074
475	0.3745817566
476	0.3743786621
477	0.3741343307
478	0.3738798523
479	0.3737539291
480	0.3735868835
481	0.3733975601
482	0.3732052612
483	0.3729636383
484	0.3728012466
485	0.3725823212
486	0.3724021912
487	0.3720954514
488	0.3718128204
489	0.3715283966
490	0.3713585281
491	0.3711864853
492	0.3709029388
493	0.3705588531
494	0.3703797531
495	0.370157547
496	0.3699501038
497	0.3697534943
498	0.3696269989
499	0.3693699646
500	0.3692013168
501	0.3690471649
502	0.3688207245
503	0.3685979462
504	0.368355751
505	0.3680804443
506	0.367877655
507	0.3676501465
508	0.3674635315
509	0.3671135712
510	0.3669176865
511	0.3667536545
512	0.3664706421
513	0.3662081146
514	0.3658990479
515	0.365670433
516	0.3654675293
517	0.3652422714
518	0.3650154495
519	0.3648549652
520	0.3646207428
521	0.3644180679
522	0.3642468262
523	0.3639788818
524	0.3638066101
525	0.3636779785
526	0.3635085297
527	0.3633172607
528	0.3631045532
529	0.3629095078
530	0.3626509094
531	0.3624297333
532	0.3621917343
533	0.3620298767
534	0.3617997742
535	0.361640892
536	0.3614855194
537	0.3612730408
538	0.3610884857
539	0.3608780289
540	0.3606680679
541	0.3604506302
542	0.3602479935
543	0.3601379395
544	0.3599230194
545	0.3596667099
546	0.3594356155
